City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
672,Bubaque,77.07,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
673,Bathsheba,76.05,scattered clouds,13.2167,-59.5167,Atlantis Hotel
674,Cururupu,73.0,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
677,Senador Pompeu,70.34,light rain,-5.5881,-39.3717,Pousada Ki-Delicia
682,Montecristi,73.22,broken clouds,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
683,Itarema,73.74,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
686,Urambo,65.73,overcast clouds,-5.0667,32.05,Fair Lodge
688,Kattivakkam,78.89,overcast clouds,13.2167,80.3167,Euronova Freezer
691,Sadasivpet,64.31,few clouds,17.6212,77.9503,Anantha sai medical & General store
703,Shenzhen,70.86,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
705,Humacao,76.77,scattered clouds,18.1497,-65.8274,Quebrada Calle Cruz de Malta
711,Isoka,62.13,overcast clouds,-10.1606,32.6335,Location Compound
